[MBA][GRADING][SEM2] "Master in Business Administration Syllabus"
[MBA][GRADING][SEM3] "Syllabus MBA Pharmaceutical Management III Sem"
[MBA][GRADING][SEM3] "Syllabus MBA Pharmaceutical Management III Sem"
[MBA][GRADING][SEM3] "Syllabus Financial Administration MBA III Sem"
[MBA][GRADING][SEM3] "Syllabus Financial Administration MBA III Sem"
[BTECH][GRADING][SEM4] "Artificial Intelligence and Machine Learning"
[BTECH][GRADING][SEM5] "Syllabus BTech V Sem Artificial Intelligence"
[BTECH][GRADING][SEM5] "Syllabus Btech Electronics Communi ACT V Sem"
[BTECH][GRADING][SEM6] "Syallbus Artificial Intelligence Machine Learning"
[BTECH][GRADING][SEM6] "Syllabus BTech ACT VI Semest"
[BTECH][GRADING][SEM7] "Syllabus Fire Tech and Safety Engineering"
[BTECH][GRADING][SEM8] "Syllabus Fire Tech and Safety Engineering"
[BE][GRADING][SEM3] "B.E. (Computer Sc.and Engg.)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Electronics and Comm.)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Fire Tech.)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Ind.Engg. and Management)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Industrial Prod.)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Information Tech.)(Grading Sys.)"
[BE][GRADING][SEM3] "B.E.(Textile Engg.)(Grading Sys)"
[BE][GRADING][SEM3] "Aeronautical Engineering(Grading System)"
[BE][GRADING][SEM4] "B.E.(Aeronotical Eng.) Grading Sys."
[BE][GRADING][SEM5] "Bio-Technology(Grading)"
[BE][GRADING][SEM5] "Bio-Medical Engineering(Grading)"
[BE][GRADING][SEM5] "Electronics Instrumentation Engineering(Grading)"
[BE][GRADING][SEM5] "Industrial Engineering and Management(Grading)"
[BE][GRADING][SEM5] "Textile Technology(Grading)"
[BE][GRADING][SEM5] "Electronics Communication EngineeringGrading"
[BE][GRADING][SEM6] "BE(Bio-Technology)(Grading System)"
[BE][GRADING][SEM6] "BE(Bio-Medical Engg)(Grading System)"
[BE][GRADING][SEM6] "BE(Comp.Sc. and Engg)(Grading System)"
[BE][GRADING][SEM6] "BE(Fire Tech)(Grading System)"
[BE][GRADING][SEM6] "BE(IEM)(Grading System)"
[BE][GRADING][SEM6] "BE(Information Tech)(Grading System)"
[BE][GRADING][SEM6] "BE(Textile Engg)(Grading System)"
[BE][GRADING][SEM6] "BE(Electronics and Comm)(Grading Sys.)"
[BE][GRADING][SEM6] "Aeronautical Engineering Grading System"
[BE][GRADING][SEM7] "Syllabus Electronics Instrumentation G. System"
[BE][GRADING][SEM7] "Syllabus( Fire Tech Safety Engineering)"
[BE][GRADING][SEM7] "Syllabus (Industrial Engineering Management)"
[BE][GRADING][SEM7] "Syllabus (Textile Engineering) Grading System"
[BE][GRADING][SEM7] "Syllabus (Electronics communication Engg.)"
[BE][GRADING][SEM7] "Syllabus for (Bio Medical Engineering)"
[BE][GRADING][SEM8] "Minin"
[BE][GRADING][SEM8] "Bio tech (Grading System)"
[BE][GRADING][SEM8] "Bio Medical Engineering (Grading System)"
[BE][GRADING][SEM8] "EC (Grading System)"
[BE][GRADING][SEM8] "EE (Grading System)"
[BE][GRADING][SEM8] "EI (Grading System)"
[BE][GRADING][SEM8] "EX (Grading System)"
[BE][GRADING][SEM8] "IEM (Grading System)"
[BE][GRADING][SEM8] "IP (Grading System)"
[BE][GRADING][SEM8] "IT (Grading System)"
[BE][GRADING][SEM8] "ME (Grading System)"
[BE][GRADING][SEM8] "TX (Grading System)"
[BE][GRADING][SEM8] "CM (Grading System)"
[BE][NONGRADING][SEM4] "B.E. (Bio-Medical Engineering)"
[BE][NONGRADING][SEM4] "B.E. (Industrial Engineering and Management)"
[BE][NONGRADING][SEM4] "B.E. (Textile Technology)"
[BE][NONGRADING][SEM5] "B.E.(AU)"
[BE][NONGRADING][SEM5] "B.E.(CE)"
[BE][NONGRADING][SEM5] "B.E.(CM)"
[BE][NONGRADING][SEM5] "B.E.(CS)"
[BE][NONGRADING][SEM5] "B.E.(EC)"
[BE][NONGRADING][SEM5] "B.E.(EE)"
[BE][NONGRADING][SEM5] "B.E.(EI)"
[BE][NONGRADING][SEM5] "B.E.(EX)"
[BE][NONGRADING][SEM5] "B.E.(FT)"
[BE][NONGRADING][SEM5] "B.E.(IEM)"
[BE][NONGRADING][SEM5] "B.E.(IP)"
[BE][NONGRADING][SEM5] "B.E.(IT)"
[BE][NONGRADING][SEM5] "B.E.(ME)"
[BE][NONGRADING][SEM5] "B.E.(BM)"
[BE][NONGRADING][SEM6] "B.E.(Comp.Sc. and Engg.)"
[BE][NONGRADING][SEM6] "B.E.(Electronics and Comm.)"
[BE][NONGRADING][SEM6] "B.E.(Electronics and Inst.)"
[BE][NONGRADING][SEM6] "B.E.(Fire Tech.)"
[BE][NONGRADING][SEM6] "B.E.(IP,IEM)"
[BE][NONGRADING][SEM6] "B.E.(Information Tech.)"
[BE][NONGRADING][SEM6] "B.E.(Textile Engg.)"
[BE][NONGRADING][SEM6] "B.E.(Bio Medical Engg.)"
[BE][NONGRADING][SEM7] "B.E(IT)"
[BE][NONGRADING][SEM7] "B.E.(CSE)"
[BE][NONGRADING][SEM7] "B.E.(AU)"
[BE][NONGRADING][SEM7] "B.E.(BM)"
[BE][NONGRADING][SEM7] "B.E. (BT)"
[BE][NONGRADING][SEM7] "B.E.(CE)"
[BE][NONGRADING][SEM7] "B.E.(CM)"
[BE][NONGRADING][SEM7] "B.E. (EC)"
[BE][NONGRADING][SEM7] "B.E. (EE)"
[BE][NONGRADING][SEM7] "B.E. (EX)"
[BE][NONGRADING][SEM7] "B.E.(FT)"
[BE][NONGRADING][SEM7] "B.E.(IE)"
[BE][NONGRADING][SEM7] "B.E. (IP)"
[BE][NONGRADING][SEM7] "B.E. (ME)"
[BE][NONGRADING][SEM7] "B.E. (TX)"
[BE][NONGRADING][SEM7] "B.E.(EI)"
[BE][NONGRADING][SEM8] "BE (BM)"
[BE][NONGRADING][SEM8] "BE (BT)"
[BE][NONGRADING][SEM8] "BE CE)"
[BE][NONGRADING][SEM8] "B.E.(CS)"
[BE][NONGRADING][SEM8] "B.E.(IT)"
[BE][NONGRADING][SEM8] "BE(ME)"
[BE][NONGRADING][SEM8] "BE(CM)"
[BE][NONGRADING][SEM8] "BE(EC)"
[BE][NONGRADING][SEM8] "BE(EE)"
[BE][NONGRADING][SEM8] "BE(EI)"
[BE][NONGRADING][SEM8] "BE(EX)"
[BE][NONGRADING][SEM8] "BE(FT)"
[BE][NONGRADING][SEM8] "BE(IP)"
[BE][NONGRADING][SEM8] "B.E.(TX)"
[BE][NONGRADING][SEM8] "BE(AU"
[BE][CBCS][SEM1] "B.E. CBCS for 2015 and 2016 Admitted Students"
[BE][CBCS][SEM2] "B.E. CBCS for 2015 and 2016 Admitted Students"
[BE][CBCS][SEM3] "Textile Technology CBCS"
[BE][CBCS][SEM4] "Textile Engineering CBCS"
[BE][CBGS][SEM3] "B.E. EC New CBGS 2017"
[BE][CBGS][SEM3] "B.E. EI New CBGS 2017"
[BE][CBGS][SEM3] "B.E. EX New CBGS 2017"
[BE][CBGS][SEM4] "B.E. IPE CBGS 2017"
[BE][CBGS][SEM4] "B.E. EX CBGS 2017"
[BE][CBGS][SEM4] "B.E. ECE CBGS 2017"
[BE][CBGS][SEM4] "B.E. EI CBGS 2017"
[BE][CBGS][SEM5] "B.E. Electronins and Communication New CBGS 2017"
[BE][CBGS][SEM5] "B.E. Electronins and Instrumentation New CBGS 2017"
[BE][CBGS][SEM5] "B.E. Textile Technology New CBGS 2017"
[BE][CBGS][SEM5] "B.E. IPE New CBGS 2017"
[BE][CBGS][SEM6] "BE Ch"
[BE][CBGS][SEM6] "B.E. ECE CBGS 2017"
[BE][CBGS][SEM6] "B.E. EI CBGS 2017"
[BE][CBGS][SEM6] "B.E. EX CBGS 2017"
